# Time	Temperature [K]	Pressure [Pa]
0.068	2660.57	1.36789e+06
0.0681	2660.57	1.36789e+06
0.0682	2660.57	1.36789e+06
0.0683	2660.57	1.36789e+06
0.0684	2660.57	1.36789e+06
0.0685	2660.57	1.36789e+06
0.0686	2660.57	1.36789e+06
0.0687	2660.57	1.36789e+06
0.0688	2660.57	1.36789e+06
0.0689	2660.57	1.36789e+06
0.069	2660.57	1.36789e+06
0.0691	2660.57	1.36789e+06
0.0692	2660.57	1.36789e+06
0.0693	2660.57	1.36789e+06
0.0694	2660.57	1.36789e+06
0.0695	2660.57	1.36789e+06
0.0696	2660.57	1.36789e+06
0.0697	2660.57	1.36789e+06
0.0698	2660.57	1.36789e+06
0.0699	2660.57	1.36789e+06
0.07	2660.57	1.36789e+06
